un loisir;ein Hobby
un jeune;ein Jugendlicher
une jeune;eine Jugendliche
l'athlétisme;die Leichtathletik 
un club;ein Klub
le foot;der Fussball
une équipe;eine Mannschaft
C'est pas son truc;Das ist nicht sein Ding
la lecture;das Lesen
la photo;die Fotografie
le handball;Handball
le shopping;das Einkaufen
le violon;die Violine
le vélo;das Fahrrad
une console;eine Konsole
traîner;abhängen
une vidéo;ein Video
la télé;der Fernseher
regarder la télé;fernsehen
un entraînement;ein Training
un joueur;ein Spieler
une joueuse;eine Spielerin
appeler qn;jmnd anrufen
j'appelle;ich rufe an
tu appelles;du rufst an
il appelle;er ruft an
nous appelons;wir rufen an
vous appelez;ihr ruft an
ils appellent;sie rufen an
en bas de;unten
encore;wieder
stresser qn;jmnd stressen
à cause de qn/qc;wegen einer Person/einer Sache
une note;eine Note
être d'accord;einverstanden sein
ne...pas trop;nicht wirklich
un match;ein Spiel
contre;gegen
en ce moment;im Augenblick
avoir envie de faire qc;Lust haben, etwas zu tun
dormir;schlafen
je dors;ich schlafe
tu dors;du schläfst
il dort;er schläft
nous dormons;wir schlafen
vous dormez;ihr schläft
ils dorment;sie schlafen
beaucoup;viel
partir;weggehen
je pars;ich gehe weg
tu pars;du gehst weg
il part;er geht weg
nous partons;wir gehen weg
vous partez;ihr geht weg
ils partent;sie gehen weg
c'est la catastrophe;das ist eine Katastrophe
rater qc;etw verpassen
une passe;ein Pass
une faute;ein Fehler
un entraîneur;ein Trainer
être en colère;wütend sein
ne...pas du tout;überhaupt nicht
c'est la honte;das ist peinlich
un vestiaire;eine Umkleidekabine
manquer;fehlen
trop;zu
un autre;ein anderer
une autre;eine andere
avoir raison;Recht haben
Je suis désolé;es tut mir leid (männlich)
Je suis désolée;es tut mir leid (weiblich)
sortir;ausgehen
je sors;ich gehe aus
tu sors;du gehst aus
il sort;er geht aus
nous sortons;wir gehen aus
vous sortez;ihr geht aus
ils sortent;sie gehen aus
rester;bleiben
sans;ohne
un corres;ein Brieffreund
une corres;eine Brieffreundin
une résponse;eine Antwort
Bises/Bisous;freundschaftliche Grussformel am Ende einer E-Mail
à côté de;neben
une discussion;eine Diskussion
avoir l'air;aussehen
ça va mieux;es geht besser
pleurer;weinen
un bébé;ein Baby
hien?;was?
pourquoi est-ce que...?;warum...?
quand est-ce que...?;wann...?
préférer faire qc;etw lieber tun
vers qn/qc;auf jmnd/etw zu 
un banc de touche;eine Ersatzbank
quelle photo?;welches foto?
sortir qc de qc;etw herausholen aus
hier;gestern
comment est-ce que...?;wie...?
si;wenn
tout va bien;alles in Ordnung
quel blaireau;was für eine Null
un héros;ein Held
une héroïne;eine Heldin
craquer;die Nerven verlieren
c'est bon;es ist gut
un réseau;ein Netz
des réseaux;Netze
un réseau social;ein soziales Netzwerk
c'est graave;das ist schlimm
le harcèlement;das Mobbing
ça sonne;es klingelt
parler à qn;mit jmnd sprechen
Internet (m.);das Internet
tous;alle
depuis;seit
un commentaire;ein Kommentar
être à côté de ses pompes;durcheinander sein
c'est le stress;ich habe Stress
partout;überall
la participation;die Teilnahme
dans quinze jours;in vierzehn Tagen
je m'en occupe;ich kümmere mich darum
il faut faire qc;man muss etw tun
un plan;ein Plan
expliquer qc à qn;jmnd etw erklären
le silence;die Ruhe
tout le monde;alle
un fan;ein Fan (männlich)
une fan;ein Fan (weiblich)
être debout;stehen
un signe;ein Zeichen
retirer qc;etw ausziehen
un t-shirt;ein T-Shirt
tomber;fallen
c'est fini;es ist vorbei
le public;das Publikum
crier;schreien
allez;los
gagner (qc);(etw) gewinnen
une fête;ein Fest
faire la fête;feiern
quand même;trotzdem
